id	model	local_AUC	local_P@L	local_P@L2	local_P@L5	short_AUC	short_P@L	short_P@L2	short_P@L5	medium_AUC	medium_P@L	medium_P@L2	medium_P@L5	long_AUC	long_P@L	long_P@L2	long_P@L5	tm_score	plddt
cut0000_ptm0.920_r3	ESM-2 (Unsupervised)	0.6190844774246216	0.446540892124176	0.6329113841056824	0.774193525314331	0.4239481091499328	0.2012578547000885	0.3797468245029449	0.6451612710952759	0.6982601284980774	0.4591194987297058	0.6708860993385315	0.9354838728904724	0.824726939201355	0.6603773832321167	0.8481012582778931	0.9677419066429138	1.0	94.34679874213838
cut0001_ptm0.907_r3	ESM-2 (Unsupervised)	0.6271328926086426	0.4402515590190887	0.6202531456947327	0.8064516186714172	0.4207223057746887	0.2012578547000885	0.3797468245029449	0.6129032373428345	0.6976312398910522	0.4528301954269409	0.6708860993385315	0.9354838728904724	0.8255577087402344	0.6415094137191772	0.8481012582778931	0.9677419066429138	0.99352	92.97277987421384
cut0002_ptm0.912_r3	ESM-2 (Unsupervised)	0.6146512031555176	0.4402515590190887	0.6202531456947327	0.774193525314331	0.4239481091499328	0.2012578547000885	0.3797468245029449	0.6451612710952759	0.6948329210281372	0.4591194987297058	0.6708860993385315	0.9354838728904724	0.7988020777702332	0.6289308071136475	0.8101266026496887	0.9677419066429138	0.98726	93.44952201257861
cut0003_ptm0.905_r3	ESM-2 (Unsupervised)	0.6204527616500854	0.446540892124176	0.6202531456947327	0.774193525314331	0.4200933873653412	0.1949685513973236	0.3797468245029449	0.6129032373428345	0.6861945986747742	0.4528301954269409	0.6582278609275818	0.9354838728904724	0.7807212471961975	0.5911949872970581	0.797468364238739	0.9677419066429138	0.98075	92.93225786163522
cut0004_ptm0.896_r3	ESM-2 (Unsupervised)	0.6073837280273438	0.4339622557163238	0.6202531456947327	0.7419354915618896	0.4265449941158294	0.1949685513973236	0.3797468245029449	0.6774193644523621	0.6787866353988647	0.4528301954269409	0.6582278609275818	0.9354838728904724	0.7673314213752747	0.5786163806915283	0.7848101258277893	0.9677419066429138	0.97441	92.10200628930818
cut0005_ptm0.889_r3	ESM-2 (Unsupervised)	0.6059980392456055	0.4276729524135589	0.607594907283783	0.774193525314331	0.423691838979721	0.1949685513973236	0.3670886158943176	0.6774193644523621	0.6821290254592896	0.4591194987297058	0.6582278609275818	0.9354838728904724	0.7441791296005249	0.5471698045730591	0.7848101258277893	0.9032257795333862	0.96776	91.62152201257862
cut0006_ptm0.871_r3	ESM-2 (Unsupervised)	0.57685387134552	0.402515709400177	0.5696202516555786	0.7096773982048035	0.4034643173217773	0.1823899298906326	0.3417721390724182	0.6774193644523621	0.6776142120361328	0.4591194987297058	0.6582278609275818	0.9354838728904724	0.722916305065155	0.5345911979675293	0.7341772317886353	0.8709677457809448	0.96167	89.89113207547172
cut0007_ptm0.849_r3	ESM-2 (Unsupervised)	0.6749580502510071	0.4842767417430877	0.7088607549667358	0.7419354915618896	0.3911885321140289	0.1761006265878677	0.3291139304637909	0.6451612710952759	0.6662448644638062	0.446540892124176	0.6329113841056824	0.9354838728904724	0.7336885333061218	0.5660377144813538	0.7088607549667358	0.9354838728904724	0.95433	86.4062389937107
cut0008_ptm0.867_r3	ESM-2 (Unsupervised)	0.6757549047470093	0.4842767417430877	0.6962025165557861	0.8064516186714172	0.3795416951179504	0.1761006265878677	0.3164556920528412	0.6129032373428345	0.6690678596496582	0.4402515590190887	0.6455696225166321	0.9354838728904724	0.7354802489280701	0.5597484111785889	0.7088607549667358	0.9032257795333862	0.94823	89.2107672955975
cut0009_ptm0.870_r3	ESM-2 (Unsupervised)	0.6676137447357178	0.4905660450458526	0.6835442781448364	0.7419354915618896	0.3802409768104553	0.1761006265878677	0.3164556920528412	0.6129032373428345	0.666516900062561	0.4402515590190887	0.6329113841056824	0.9354838728904724	0.7104237675666809	0.5408805012702942	0.6835442781448364	0.8709677457809448	0.93725	89.51387421383647
cut0010_ptm0.857_r3	ESM-2 (Unsupervised)	0.6791150569915771	0.5157232880592346	0.6962025165557861	0.7419354915618896	0.3765260279178619	0.1761006265878677	0.3164556920528412	0.6129032373428345	0.6616477966308594	0.4339622557163238	0.6329113841056824	0.9032257795333862	0.7313627004623413	0.5660377144813538	0.6962025165557861	0.9032257795333862	0.93398	88.55652830188679
cut0011_ptm0.864_r3	ESM-2 (Unsupervised)	0.6710326075553894	0.5031446814537048	0.6708860993385315	0.7419354915618896	0.3730414509773254	0.1761006265878677	0.3037974536418915	0.6129032373428345	0.6635003089904785	0.4339622557163238	0.6329113841056824	0.9032257795333862	0.7107712626457214	0.553459107875824	0.6708860993385315	0.8709677457809448	0.92819	89.38629559748426
cut0012_ptm0.853_r3	ESM-2 (Unsupervised)	0.6644881367683411	0.5094339847564697	0.6708860993385315	0.7419354915618896	0.3763119876384735	0.1761006265878677	0.3164556920528412	0.6451612710952759	0.6733844876289368	0.4339622557163238	0.6582278609275818	0.9677419066429138	0.7052138447761536	0.5345911979675293	0.6835442781448364	0.8709677457809448	0.92173	88.58006289308176
cut0013_ptm0.853_r3	ESM-2 (Unsupervised)	0.6641791462898254	0.5157232880592346	0.6582278609275818	0.7096773982048035	0.3840526938438415	0.1761006265878677	0.3164556920528412	0.6774193644523621	0.6718546152114868	0.4276729524135589	0.6582278609275818	0.9677419066429138	0.7047976851463318	0.5220125913619995	0.6962025165557861	0.8709677457809448	0.91584	88.50674842767296
cut0014_ptm0.848_r3	ESM-2 (Unsupervised)	0.6736990809440613	0.5031446814537048	0.6835442781448364	0.7419354915618896	0.3707243204116821	0.1698113232851028	0.3037974536418915	0.6451612710952759	0.6718096733093262	0.4339622557163238	0.6582278609275818	0.9677419066429138	0.7134060263633728	0.553459107875824	0.7088607549667358	0.8709677457809448	0.90888	87.9537358490566
cut0015_ptm0.820_r3	ESM-2 (Unsupervised)	0.6552630066871643	0.4905660450458526	0.6329113841056824	0.7419354915618896	0.3577492237091064	0.1635220199823379	0.2911392450332641	0.6129032373428345	0.6698561906814575	0.4339622557163238	0.6582278609275818	0.9677419066429138	0.7027443647384644	0.5220125913619995	0.6835442781448364	0.8709677457809448	0.89564	84.35838993710692
cut0016_ptm0.825_r3	ESM-2 (Unsupervised)	0.6158677935600281	0.4402515590190887	0.607594907283783	0.7419354915618896	0.3577492237091064	0.1635220199823379	0.2911392450332641	0.6129032373428345	0.6685903668403625	0.4339622557163238	0.6455696225166321	0.9677419066429138	0.7027443647384644	0.5220125913619995	0.6835442781448364	0.8709677457809448	0.89211	86.39065408805033
cut0017_ptm0.829_r3	ESM-2 (Unsupervised)	0.6478627920150757	0.5031446814537048	0.6329113841056824	0.6774193644523621	0.3593365550041199	0.1635220199823379	0.2911392450332641	0.6129032373428345	0.6692272424697876	0.4276729524135589	0.6582278609275818	0.9677419066429138	0.6980100870132446	0.5094339847564697	0.6962025165557861	0.8709677457809448	0.88452	85.82167295597482
