id	model	local_AUC	local_P@L	local_P@L2	local_P@L5	short_AUC	short_P@L	short_P@L2	short_P@L5	medium_AUC	medium_P@L	medium_P@L2	medium_P@L5	long_AUC	long_P@L	long_P@L2	long_P@L5
cut0000_ptm0.870_r3	ESM-2 (Unsupervised)	0.6625317335128784	0.4838709533214569	0.695652186870575	0.7777777910232544	0.43188267946243286	0.2688172161579132	0.41304346919059753	0.5555555820465088	0.6273452043533325	0.4301075339317322	0.6304348111152649	0.7777777910232544	0.7302008867263794	0.5483871102333069	0.717391312122345	0.8333333134651184
cut0001_ptm0.851_r3	ESM-2 (Unsupervised)	0.6632110476493835	0.4838709533214569	0.717391312122345	0.7777777910232544	0.4358747601509094	0.2688172161579132	0.43478259444236755	0.5555555820465088	0.624992847442627	0.4301075339317322	0.6304348111152649	0.7777777910232544	0.7313064336776733	0.5591397881507874	0.717391312122345	0.8888888955116272
cut0002_ptm0.849_r3	ESM-2 (Unsupervised)	0.632620632648468	0.4838709533214569	0.6739130616188049	0.7222222089767456	0.4294683337211609	0.2688172161579132	0.43478259444236755	0.5555555820465088	0.6282649040222168	0.4301075339317322	0.6086956262588501	0.7777777910232544	0.7068846821784973	0.5376344323158264	0.695652186870575	0.8333333134651184
cut0003_ptm0.839_r3	ESM-2 (Unsupervised)	0.6126745343208313	0.4838709533214569	0.6304348111152649	0.6666666865348816	0.41577714681625366	0.25806450843811035	0.43478259444236755	0.5	0.6364359855651855	0.44086021184921265	0.6304348111152649	0.7777777910232544	0.6913769841194153	0.5161290168762207	0.695652186870575	0.7777777910232544
cut0004_ptm0.842_r3	ESM-2 (Unsupervised)	0.5985063314437866	0.4838709533214569	0.5869565010070801	0.6666666865348816	0.4172786772251129	0.25806450843811035	0.43478259444236755	0.5555555820465088	0.6270248889923096	0.4301075339317322	0.6304348111152649	0.7777777910232544	0.6967453360557556	0.5161290168762207	0.695652186870575	0.8333333134651184
cut0005_ptm0.825_r3	ESM-2 (Unsupervised)	0.6185179948806763	0.4838709533214569	0.6086956262588501	0.6666666865348816	0.4023875594139099	0.25806450843811035	0.3913043439388275	0.5	0.6194709539413452	0.4301075339317322	0.6304348111152649	0.7777777910232544	0.6569927334785461	0.4838709533214569	0.6521739363670349	0.8333333134651184
cut0006_ptm0.833_r3	ESM-2 (Unsupervised)	0.574664831161499	0.4838709533214569	0.5869565010070801	0.6111111044883728	0.4007059931755066	0.24731183052062988	0.41304346919059753	0.5555555820465088	0.6382088661193848	0.44086021184921265	0.6521739363670349	0.7777777910232544	0.6434234380722046	0.4838709533214569	0.6739130616188049	0.8333333134651184
cut0007_ptm0.799_r3	ESM-2 (Unsupervised)	0.5555981397628784	0.46236559748649597	0.5652173757553101	0.6111111044883728	0.36683279275894165	0.22580644488334656	0.3695652186870575	0.5	0.6223984956741333	0.44086021184921265	0.6739130616188049	0.7777777910232544	0.5896728038787842	0.44086021184921265	0.5869565010070801	0.7222222089767456
cut0008_ptm0.796_r3	ESM-2 (Unsupervised)	0.5482926964759827	0.44086021184921265	0.52173912525177	0.6111111044883728	0.3727756440639496	0.22580644488334656	0.3695652186870575	0.5	0.6224473118782043	0.4516128897666931	0.6521739363670349	0.7777777910232544	0.5677769780158997	0.44086021184921265	0.54347825050354	0.7222222089767456
cut0009_ptm0.773_r3	ESM-2 (Unsupervised)	0.5722903609275818	0.47311827540397644	0.5652173757553101	0.5555555820465088	0.4373716413974762	0.29032257199287415	0.43478259444236755	0.6111111044883728	0.6395056843757629	0.46236559748649597	0.695652186870575	0.7777777910232544	0.5846360921859741	0.4301075339317322	0.5869565010070801	0.7222222089767456
