id	model	local_AUC	local_P@L	local_P@L2	local_P@L5	short_AUC	short_P@L	short_P@L2	short_P@L5	medium_AUC	medium_P@L	medium_P@L2	medium_P@L5	long_AUC	long_P@L	long_P@L2	long_P@L5	tm_score	plddt
cut0000_ptm0.919_r3	ESM-2 (Unsupervised)	0.849258303642273	0.7566137313842773	0.8617021441459656	0.8918918967247009	0.5161333084106445	0.2592592537403106	0.457446813583374	0.8648648858070374	0.314310222864151	0.1587301641702652	0.2765957415103912	0.4864864945411682	0.7142316699028015	0.6243386268615723	0.7446808218955994	0.7837837934494019	1.0	93.92471428571429
cut0001_ptm0.918_r3	ESM-2 (Unsupervised)	0.8469001054763794	0.7513227462768555	0.8723404407501221	0.8918918967247009	0.5158365964889526	0.2592592537403106	0.457446813583374	0.8648648858070374	0.3181868493556976	0.1587301641702652	0.2765957415103912	0.4864864945411682	0.7170749306678772	0.6190476417541504	0.7553191781044006	0.7837837934494019	0.99437	93.82406349206349
cut0002_ptm0.912_r3	ESM-2 (Unsupervised)	0.8507559895515442	0.761904776096344	0.8723404407501221	0.8918918967247009	0.5144907832145691	0.2592592537403106	0.457446813583374	0.8648648858070374	0.3181868493556976	0.1587301641702652	0.2765957415103912	0.4864864945411682	0.715666651725769	0.6084656119346619	0.7340425252914429	0.7837837934494019	0.98904	93.19577248677248
cut0003_ptm0.908_r3	ESM-2 (Unsupervised)	0.845539927482605	0.7671957612037659	0.8510638475418091	0.8918918967247009	0.509116530418396	0.2539682686328888	0.4468085169792175	0.8648648858070374	0.3181868493556976	0.1587301641702652	0.2765957415103912	0.4864864945411682	0.7182267904281616	0.6084656119346619	0.7553191781044006	0.8108108043670654	0.9824	92.41362433862433
cut0004_ptm0.887_r3	ESM-2 (Unsupervised)	0.8517351150512695	0.7777777910232544	0.8723404407501221	0.8648648858070374	0.5106192231178284	0.2539682686328888	0.4468085169792175	0.8648648858070374	0.3164011240005493	0.1587301641702652	0.2765957415103912	0.4864864945411682	0.7201524376869202	0.6084656119346619	0.7553191781044006	0.8108108043670654	0.97674	90.57727513227513
cut0005_ptm0.902_r3	ESM-2 (Unsupervised)	0.8183935284614563	0.7248677015304565	0.8404255509376526	0.8648648858070374	0.4982206225395202	0.2486772537231445	0.436170220375061	0.837837815284729	0.3165799975395202	0.1587301641702652	0.2872340381145477	0.4864864945411682	0.7266252636909485	0.60317462682724	0.7446808218955994	0.8108108043670654	0.96839	91.65607407407407
cut0006_ptm0.893_r3	ESM-2 (Unsupervised)	0.8417311906814575	0.7566137313842773	0.8510638475418091	0.8648648858070374	0.4973356127738952	0.2486772537231445	0.436170220375061	0.837837815284729	0.3179173469543457	0.1587301641702652	0.2872340381145477	0.4864864945411682	0.7294262647628784	0.60317462682724	0.7659574747085571	0.837837815284729	0.96625	90.9277513227513
cut0007_ptm0.877_r3	ESM-2 (Unsupervised)	0.8377601504325867	0.7513227462768555	0.8510638475418091	0.8648648858070374	0.4968065321445465	0.2433862388134002	0.436170220375061	0.837837815284729	0.314091145992279	0.1587301641702652	0.2872340381145477	0.4594594538211822	0.7143615484237671	0.60317462682724	0.7446808218955994	0.8108108043670654	0.96103	89.5534074074074
cut0008_ptm0.873_r3	ESM-2 (Unsupervised)	0.8044528961181641	0.7248677015304565	0.8191489577293396	0.837837815284729	0.4891590178012848	0.2433862388134002	0.4255319237709045	0.837837815284729	0.314091145992279	0.1587301641702652	0.2872340381145477	0.4594594538211822	0.713004469871521	0.5925925970077515	0.7340425252914429	0.8108108043670654	0.95445	88.91480423280424
cut0009_ptm0.852_r3	ESM-2 (Unsupervised)	0.7981507182121277	0.7037037014961243	0.7978723645210266	0.8648648858070374	0.4861005842685699	0.2486772537231445	0.4255319237709045	0.8108108043670654	0.3241351246833801	0.1587301641702652	0.2872340381145477	0.4864864945411682	0.6996706128120422	0.5873016119003296	0.7234042286872864	0.8108108043670654	0.9488	86.84323809523809
